"","species","body_mass_g","culmen_length_mm","fitted_seg1"
"97","Gentoo penguin (Pygoscelis papua)",4925,49.4,5354.05025667984
"98","Gentoo penguin (Pygoscelis papua)",4875,46.9,5025.58614477755
"99","Gentoo penguin (Pygoscelis papua)",4625,48.4,5222.66461191892
"100","Gentoo penguin (Pygoscelis papua)",5250,51.1,5490.08571840704
"101","Gentoo penguin (Pygoscelis papua)",4850,48.5,5235.80317639501
"102","Gentoo penguin (Pygoscelis papua)",5600,55.9,5739.7033928461
"103","Gentoo penguin (Pygoscelis papua)",4975,47.2,5065.00183820583
"104","Gentoo penguin (Pygoscelis papua)",5500,49.1,5314.63456325156
"105","Gentoo penguin (Pygoscelis papua)",4725,47.3,5078.14040268192
"106","Gentoo penguin (Pygoscelis papua)",5500,46.8,5012.44758030146
"107","Gentoo penguin (Pygoscelis papua)",4700,41.7,4342.3807920208
"108","Gentoo penguin (Pygoscelis papua)",5500,53.4,5609.69418740909
"109","Gentoo penguin (Pygoscelis papua)",4575,43.3,4552.59782363826
"110","Gentoo penguin (Pygoscelis papua)",5500,48.1,5183.24891849065
"111","Gentoo penguin (Pygoscelis papua)",5000,50.5,5458.88350910216
"112","Gentoo penguin (Pygoscelis papua)",5950,49.8,5406.6045145842
"113","Gentoo penguin (Pygoscelis papua)",4650,43.5,4578.87495259044
"114","Gentoo penguin (Pygoscelis papua)",5500,51.5,5510.88719127696
"115","Gentoo penguin (Pygoscelis papua)",4375,46.2,4933.61619344491
"116","Gentoo penguin (Pygoscelis papua)",5850,55.1,5698.10044710626
"117","Gentoo penguin (Pygoscelis papua)",4875,44.5,4710.26059735136
"118","Gentoo penguin (Pygoscelis papua)",6000,48.8,5275.21886982329
"119","Gentoo penguin (Pygoscelis papua)",4925,47.2,5065.00183820583
"120","Gentoo penguin (Pygoscelis papua)",4850,46.8,5012.44758030146
"121","Gentoo penguin (Pygoscelis papua)",5750,50.4,5453.68314088468
"122","Gentoo penguin (Pygoscelis papua)",5200,45.2,4802.230548684
"123","Gentoo penguin (Pygoscelis papua)",5400,49.9,5419.74307906029
